,coef
"Vallejo-Fairfield, CA",0.0013399614438181456
"Virginia Beach-Norfolk-Newport News, VA-NC",0.004407591119738516
"Visalia-Porterville, CA",0.002210192786488128
"Waco, TX",0.0008130661192228446
"Warner Robins, GA",0.0004332436164101262
"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.015174804696426574
"Wausau, WI",0.0006230536756230568
"Wenatchee, WA",0.0005739021922276061
"Wichita Falls, TX",0.0005605994444034632
"Wichita, KS",0.0016064086716183553
"Wilmington, NC",0.0008043021666391901
"Winston-Salem, NC",0.001349193260647323
"Worcester, MA-CT",0.002688605866020228
"Yakima, WA",0.0012182633160891156
"York-Hanover, PA",0.0012780820274487332
"Youngstown-Warren-Boardman, OH-PA",0.0019487807525823775
"Yuba City, CA",0.0007008965835284329
"Yuma, AZ",0.0008626010825446311
